image_path,mask_path,label,split
images/0_aug_0_Benign.png,masks/0_aug_0_Benign_mask.png,Benign,train
images/0_aug_1_Benign.png,masks/0_aug_1_Benign_mask.png,Benign,train
images/0_aug_2_Benign.png,masks/0_aug_2_Benign_mask.png,Benign,train
images/0_aug_3_Benign.png,masks/0_aug_3_Benign_mask.png,Benign,train
images/0_aug_4_Benign.png,masks/0_aug_4_Benign_mask.png,Benign,train
images/1_aug_0_Benign.png,masks/1_aug_0_Benign_mask.png,Benign,val
images/1_aug_1_Benign.png,masks/1_aug_1_Benign_mask.png,Benign,val
images/1_aug_2_Benign.png,masks/1_aug_2_Benign_mask.png,Benign,val
images/1_aug_3_Benign.png,masks/1_aug_3_Benign_mask.png,Benign,val
images/1_aug_4_Benign.png,masks/1_aug_4_Benign_mask.png,Benign,val
images/2_aug_0_Benign.png,masks/2_aug_0_Benign_mask.png,Benign,train
images/2_aug_1_Benign.png,masks/2_aug_1_Benign_mask.png,Benign,train
images/2_aug_2_Benign.png,masks/2_aug_2_Benign_mask.png,Benign,train
images/2_aug_3_Benign.png,masks/2_aug_3_Benign_mask.png,Benign,train
images/2_aug_4_Benign.png,masks/2_aug_4_Benign_mask.png,Benign,train
images/3_aug_0_Benign.png,masks/3_aug_0_Benign_mask.png,Benign,train
images/3_aug_1_Benign.png,masks/3_aug_1_Benign_mask.png,Benign,train
images/3_aug_2_Benign.png,masks/3_aug_2_Benign_mask.png,Benign,train
images/3_aug_3_Benign.png,masks/3_aug_3_Benign_mask.png,Benign,train
images/3_aug_4_Benign.png,masks/3_aug_4_Benign_mask.png,Benign,train
images/4_aug_0_Benign.png,masks/4_aug_0_Benign_mask.png,Benign,val
images/4_aug_1_Benign.png,masks/4_aug_1_Benign_mask.png,Benign,val
images/4_aug_2_Benign.png,masks/4_aug_2_Benign_mask.png,Benign,val
images/4_aug_3_Benign.png,masks/4_aug_3_Benign_mask.png,Benign,val
images/4_aug_4_Benign.png,masks/4_aug_4_Benign_mask.png,Benign,val
images/5_aug_0_Benign.png,masks/5_aug_0_Benign_mask.png,Benign,train
images/5_aug_1_Benign.png,masks/5_aug_1_Benign_mask.png,Benign,train
images/5_aug_2_Benign.png,masks/5_aug_2_Benign_mask.png,Benign,train
images/5_aug_3_Benign.png,masks/5_aug_3_Benign_mask.png,Benign,train
images/5_aug_4_Benign.png,masks/5_aug_4_Benign_mask.png,Benign,train
images/6_aug_0_Benign.png,masks/6_aug_0_Benign_mask.png,Benign,train
images/6_aug_1_Benign.png,masks/6_aug_1_Benign_mask.png,Benign,train
images/6_aug_2_Benign.png,masks/6_aug_2_Benign_mask.png,Benign,train
images/6_aug_3_Benign.png,masks/6_aug_3_Benign_mask.png,Benign,train
images/6_aug_4_Benign.png,masks/6_aug_4_Benign_mask.png,Benign,train
images/7_aug_0_Benign.png,masks/7_aug_0_Benign_mask.png,Benign,train
images/7_aug_1_Benign.png,masks/7_aug_1_Benign_mask.png,Benign,train
images/7_aug_2_Benign.png,masks/7_aug_2_Benign_mask.png,Benign,train
images/7_aug_3_Benign.png,masks/7_aug_3_Benign_mask.png,Benign,train
images/7_aug_4_Benign.png,masks/7_aug_4_Benign_mask.png,Benign,train
images/8_aug_0_Benign.png,masks/8_aug_0_Benign_mask.png,Benign,val
images/8_aug_1_Benign.png,masks/8_aug_1_Benign_mask.png,Benign,val
images/8_aug_2_Benign.png,masks/8_aug_2_Benign_mask.png,Benign,val
images/8_aug_3_Benign.png,masks/8_aug_3_Benign_mask.png,Benign,val
images/8_aug_4_Benign.png,masks/8_aug_4_Benign_mask.png,Benign,val
images/9_aug_0_Benign.png,masks/9_aug_0_Benign_mask.png,Benign,train
images/9_aug_1_Benign.png,masks/9_aug_1_Benign_mask.png,Benign,train
images/9_aug_2_Benign.png,masks/9_aug_2_Benign_mask.png,Benign,train
images/9_aug_3_Benign.png,masks/9_aug_3_Benign_mask.png,Benign,train
images/9_aug_4_Benign.png,masks/9_aug_4_Benign_mask.png,Benign,train
images/10_aug_0_Benign.png,masks/10_aug_0_Benign_mask.png,Benign,train
images/10_aug_1_Benign.png,masks/10_aug_1_Benign_mask.png,Benign,train
images/10_aug_2_Benign.png,masks/10_aug_2_Benign_mask.png,Benign,train
images/10_aug_3_Benign.png,masks/10_aug_3_Benign_mask.png,Benign,train
images/10_aug_4_Benign.png,masks/10_aug_4_Benign_mask.png,Benign,train
images/11_aug_0_Benign.png,masks/11_aug_0_Benign_mask.png,Benign,train
images/11_aug_1_Benign.png,masks/11_aug_1_Benign_mask.png,Benign,train
images/11_aug_2_Benign.png,masks/11_aug_2_Benign_mask.png,Benign,train
images/11_aug_3_Benign.png,masks/11_aug_3_Benign_mask.png,Benign,train
images/11_aug_4_Benign.png,masks/11_aug_4_Benign_mask.png,Benign,train
images/12_aug_0_Benign.png,masks/12_aug_0_Benign_mask.png,Benign,train
images/12_aug_1_Benign.png,masks/12_aug_1_Benign_mask.png,Benign,train
images/12_aug_2_Benign.png,masks/12_aug_2_Benign_mask.png,Benign,train
images/12_aug_3_Benign.png,masks/12_aug_3_Benign_mask.png,Benign,train
images/12_aug_4_Benign.png,masks/12_aug_4_Benign_mask.png,Benign,train
images/13_aug_0_Benign.png,masks/13_aug_0_Benign_mask.png,Benign,test
images/13_aug_1_Benign.png,masks/13_aug_1_Benign_mask.png,Benign,test
images/13_aug_2_Benign.png,masks/13_aug_2_Benign_mask.png,Benign,test
images/13_aug_3_Benign.png,masks/13_aug_3_Benign_mask.png,Benign,test
images/13_aug_4_Benign.png,masks/13_aug_4_Benign_mask.png,Benign,test
images/14_aug_0_Benign.png,masks/14_aug_0_Benign_mask.png,Benign,test
images/14_aug_1_Benign.png,masks/14_aug_1_Benign_mask.png,Benign,test
images/14_aug_2_Benign.png,masks/14_aug_2_Benign_mask.png,Benign,test
images/14_aug_3_Benign.png,masks/14_aug_3_Benign_mask.png,Benign,test
images/14_aug_4_Benign.png,masks/14_aug_4_Benign_mask.png,Benign,test
images/15_aug_0_Benign.png,masks/15_aug_0_Benign_mask.png,Benign,train
images/15_aug_1_Benign.png,masks/15_aug_1_Benign_mask.png,Benign,train
images/15_aug_2_Benign.png,masks/15_aug_2_Benign_mask.png,Benign,train
images/15_aug_3_Benign.png,masks/15_aug_3_Benign_mask.png,Benign,train
images/15_aug_4_Benign.png,masks/15_aug_4_Benign_mask.png,Benign,train
images/16_aug_0_Benign.png,masks/16_aug_0_Benign_mask.png,Benign,train
images/16_aug_1_Benign.png,masks/16_aug_1_Benign_mask.png,Benign,train
images/16_aug_2_Benign.png,masks/16_aug_2_Benign_mask.png,Benign,train
images/16_aug_3_Benign.png,masks/16_aug_3_Benign_mask.png,Benign,train
images/16_aug_4_Benign.png,masks/16_aug_4_Benign_mask.png,Benign,train
images/17_aug_0_Benign.png,masks/17_aug_0_Benign_mask.png,Benign,train
images/17_aug_1_Benign.png,masks/17_aug_1_Benign_mask.png,Benign,train
images/17_aug_2_Benign.png,masks/17_aug_2_Benign_mask.png,Benign,train
images/17_aug_3_Benign.png,masks/17_aug_3_Benign_mask.png,Benign,train
images/17_aug_4_Benign.png,masks/17_aug_4_Benign_mask.png,Benign,train
